 idPlato,nombre,descripcion,precio,esTemporada
1,Gazpacho Andaluz,Sopa fría de tomates frescos y pimiento,8.50,True
2,Entrecot de Ternera,Corte premium a la parrilla con sal Maldon,22.00,False
3,Risotto de Setas,Arroz cremoso con variedad de hongos silvestres,15.50,True
4,Tarta de Queso,Casera con base de galleta y mermelada de arándanos,6.00,False
5,Ensalada César,Lechuga romana con pollo crujiente y salsa clásica,11.00,False
6,Bacalao al Pil-Pil,Lomo de bacalao confitado con emulsión de ajo,18.50,False
7,Sopa de Cebolla,Clásica francesa gratinada con queso Gruyère,9.00,True
8,Hamburguesa Gourmet,Carne Angus con cebolla caramelizada y cabra,14.50,False
9,Pasta Carbonara,Receta original con guanciale y huevo,13.00,False
10,Sorbete de Limón,Postre refrescante con un toque de menta,5.00,True
11,Croquetas de Jamón,Bechamel suave con virutas de jamón ibérico,10.00,False
12,Pulpo a la Gallega,Con pimentón de la Vera y patatas cocidas,21.00,False
13,Crema de Calabaza,Suave y tibia con pipas tostadas,7.50,True
14,Lasaña de Verduras,Láminas de pasta con hortalizas de la huerta,12.50,False
15,Solomillo al Whisky,Medallón de cerdo con salsa reducida,16.00,False
16,Paella de Marisco,Arroz con gambas calamares y mejillones,19.00,True
17,Tacos de Cochinita,Tres tacos con cebolla encurtida y picante,12.00,False
18,Ceviche de Corvina,Marinado en lima con cilantro y ají,17.50,True
19,Profiteroles,Rellenos de nata con chocolate caliente,7.00,False
20,Vino de la Casa,Copa de tinto crianza Rioja,4.50,False
21,Canelones de Carne,Pasta rellena con sofrito tradicional,13.50,False
22,Espárragos Trigueros,A la plancha con escamas de sal,9.50,True
23,Brocheta de Pollo,Marinado en soja y miel con verduras,11.50,False
24,Flan de Huevo,Receta de la abuela con caramelo líquido,4.50,False
25,Tartar de Atún,Atún rojo con aguacate y sésamo,19.50,True
26,Tortilla Española,Con patata y cebolla recién hecha,7.00,False
27,Gnocchi al Pesto,Pasta de patata con albahaca y piñones,12.00,False
28,Costillas BBQ,Cocinadas a baja temperatura por 12 horas,18.00,False
29,Salmorejo Cordobés,Más espeso que el gazpacho con huevo duro,8.50,True
30,Brownie de Chocolate,Con nueces y una bola de vainilla,6.50,False
31,Hummus de Garbanzo,Servido con pan de pita caliente,7.50,False
32,Lubina a la Sal,Pescado blanco al horno muy jugoso,20.00,True
33,Muslo de Pato Confit,Con puré de manzana y reducción de oporto,19.00,False
34,Calamares a la Romana,Anillos de calamar fresco rebozados,12.50,False
35,Ensaladilla Rusa,Patata atún y mayonesa artesana,8.00,False
36,Carpaccio de Buey,Cortes finos con parmesano y rúcula,15.00,False
37,Raviolis de Espinacas,Rellenos de ricotta y espinacas tiernas,13.00,False
38,Macedonia de Frutas,Fruta de temporada cortada al momento,5.50,True
39,Chuletón de Ávila,600g de carne madurada a la brasa,32.00,False
40,Sepia a la Plancha,Con aliño de ajo y perejil,14.00,False
41,Crema Catalana,Postre quemado con azúcar cristalizado,6.00,False
42,Ratatouille,Guiso de verduras provenzal,11.50,True
43,Poke de Salmón,Bol de arroz con edamame y pescado crudo,14.00,False
44,Albóndigas en Salsa,De ternera con receta tradicional,12.00,False
45,Gambas al Ajillo,Peladas y salteadas con guindilla,16.00,False
46,Tiramisú,Clásico italiano con mascarpone y café,7.00,False
47,Sopa de Picadillo,Caldo de pollo con huevo y jamón,7.00,True
48,Burrata con Tomate,Queso cremoso sobre cama de tomates secos,13.50,True
49,Cochinillo Asado,Piel crujiente y carne tierna,24.00,True
50,Fajitas de Ternera,Tiras de carne con pimientos y tortillas,15.50,False
51,Nigiri de Salmón,Piezas de sushi de arroz y pescado,9.00,False
52,Tempura de Verduras,Hortalizas fritas en masa ligera,10.50,True
53,Carrillera de Cerdo,Guisada al vino tinto con puré,17.00,False
54,Natillas Caseras,Con un toque de canela y galleta,4.50,False
55,Ajo Blanco,Sopa fría de almendras y uvas,8.00,True
56,Mejillones al Vapor,Con limón y hoja de laurel,11.00,True
57,Pizza Margarita,Tomate mozzarella y albahaca fresca,10.00,False
58,Tataki de Atún,Sellado por fuera y crudo por dentro,18.00,False
59,Arroz Negro,Con tinta de sepia y alioli,16.50,True
60,Coulant de Chocolate,Bizcocho con corazón fundido,7.50,False
61,Espaguetis Frutti di Mare,Con almejas gambas y mejillones,15.50,False
62,Escalope Milanesa,Filete de pollo empanado con patatas,11.00,False
63,Judías Verdes con Jamón,Salteadas con ajos tiernos,9.00,True
64,Dorada a la Espalda,Abierta a la plancha con ajos,18.00,False
65,Quiche de Queso,Tarta salada con mezcla de quesos,10.50,True
66,Milhojas de Nata,Capas de hojaldre crujiente,6.00,False
